Chargement MNIST…
  train: (60000, 28, 28, 1) | test: (10000, 28, 28, 1)
Modèle fp32 : 6,772,500 paramètres | latent_dim=2
Cible PyTorch à battre : MSE = 0.03087685
E274/10000 | train 0.031901 | test 0.031177 | epoch 0.17s | total 49.7s | lr 0.00146
E275/10000 | train 0.031560 | test 0.031097 | epoch 0.17s | total 49.9s | lr 0.00146
E276/10000 | train 0.031630 | test 0.031243 | epoch 0.17s | total 50.0s | lr 0.00146
E277/10000 | train 0.031646 | test 0.031069 | epoch 0.17s | total 50.2s | lr 0.00146
E278/10000 | train 0.031491 | test 0.031242 | epoch 0.17s | total 50.4s | lr 0.00146
E279/10000 | train 0.031373 | test 0.031025 | epoch 0.17s | total 50.6s | lr 0.00146
E280/10000 | train 0.031192 | test 0.030886 | epoch 0.17s | total 50.8s | lr 0.00146
E281/10000 | train 0.031208 | test 0.030886 | epoch 0.17s | total 50.9s | lr 0.00146
E282/10000 | train 0.031148 | test 0.031238 | epoch 0.17s | total 51.1s | lr 0.00146
E283/10000 | train 0.033021 | test 0.032805 | epoch 0.17s | total 51.3s | lr 0.00145
E284/10000 | train 0.033085 | test 0.032936 | epoch 0.17s | total 51.5s | lr 0.00145
E285/10000 | train 0.032106 | test 0.031231 | epoch 0.17s | total 51.7s | lr 0.00145
E286/10000 | train 0.031849 | test 0.032013 | epoch 0.17s | total 51.8s | lr 0.00145
E287/10000 | train 0.032003 | test 0.031283 | epoch 0.17s | total 52.0s | lr 0.00145
