epoch,avg_loss,test_mse,epoch_time_s,wall_time_s,lr
273,0.03183841,0.03121455,0.171,49.508,0.001458
274,0.03190122,0.03117729,0.172,49.688,0.001458
275,0.03156012,0.03109745,0.172,49.867,0.001457
276,0.03163005,0.03124341,0.171,50.044,0.001457
277,0.03164590,0.03106851,0.172,50.224,0.001457
278,0.03149060,0.03124194,0.172,50.404,0.001457
279,0.03137318,0.03102481,0.171,50.582,0.001456
280,0.03119230,0.03088609,0.171,50.761,0.001456
281,0.03120841,0.03088626,0.172,50.940,0.001456
282,0.03114767,0.03123756,0.172,51.119,0.001455
283,0.03302084,0.03280529,0.171,51.298,0.001455
284,0.03308482,0.03293574,0.172,51.476,0.001455
285,0.03210638,0.03123105,0.171,51.655,0.001454
286,0.03184923,0.03201299,0.172,51.835,0.001454
287,0.03200277,0.03128348,0.171,52.013,0.001454
288,0.03151820,0.03140296,0.172,52.193,0.001453
289,0.03175828,0.03166538,0.172,52.372,0.001453
290,0.03183953,0.03133853,0.172,52.551,0.001453
291,0.03148110,0.03090678,0.177,52.736,0.001452
292,0.03137981,0.03091316,0.172,52.916,0.001452
293,0.03126949,0.03093928,0.173,53.096,0.001452
294,0.03144909,0.03114793,0.173,53.276,0.001451
295,0.03156893,0.03113983,0.174,53.457,0.001451
296,0.03203347,0.03131588,0.174,53.639,0.001451
297,0.03188597,0.03133884,0.173,53.819,0.001450
298,0.03167841,0.03124681,0.173,54.000,0.001450
299,0.03137489,0.03086483,0.174,54.181,0.001450
300,0.03136171,0.03123695,0.172,54.361,0.001449
301,0.03155327,0.03128228,0.173,54.541,0.001449
302,0.03165752,0.03143548,0.173,54.722,0.001449
303,0.03184881,0.03132618,0.172,54.902,0.001448
304,0.03155214,0.03149641,0.174,55.083,0.001448
305,0.03165419,0.03130209,0.179,55.269,0.001448
306,0.03154847,0.03149672,0.175,55.452,0.001447
307,0.03139842,0.03121798,0.178,55.638,0.001447
308,0.03157459,0.03090314,0.171,55.816,0.001447
309,0.03137925,0.03109639,0.171,55.995,0.001446
310,0.03151768,0.03104176,0.172,56.174,0.001446
311,0.03147803,0.03121001,0.171,56.352,0.001446
312,0.03140904,0.03089205,0.171,56.531,0.001445
313,0.03104865,0.03081822,0.171,56.710,0.001445
314,0.03105844,0.03069739,0.173,56.893,0.001444
315,0.03104418,0.03081635,0.172,57.076,0.001444
316,0.03152653,0.03137589,0.172,57.255,0.001444
317,0.03156296,0.03124071,0.172,57.434,0.001443
318,0.03156760,0.03131787,0.171,57.612,0.001443
319,0.03172118,0.03161550,0.171,57.791,0.001443
320,0.03173496,0.03118940,0.172,57.969,0.001442
321,0.03155196,0.03131552,0.172,58.148,0.001442
322,0.03169308,0.03221086,0.172,58.328,0.001442
323,0.03301032,0.03223607,0.171,58.506,0.001441
324,0.03230485,0.03143189,0.172,58.686,0.001441
325,0.03170629,0.03144320,0.172,58.865,0.001441
326,0.03189539,0.03144299,0.172,59.043,0.001440
327,0.03180946,0.03162035,0.172,59.223,0.001440
328,0.03212031,0.03206223,0.171,59.402,0.001439
329,0.03208547,0.03194818,0.171,59.580,0.001439
330,0.03170459,0.03130415,0.172,59.759,0.001439
331,0.03171700,0.03105854,0.171,59.937,0.001438
332,0.03127338,0.03077886,0.171,60.116,0.001438
333,0.03142640,0.03121005,0.172,60.295,0.001438
334,0.03142859,0.03104914,0.171,60.473,0.001437
335,0.03143339,0.03110133,0.171,60.652,0.001437
336,0.03141099,0.03090007,0.172,60.831,0.001436
337,0.03120713,0.03093537,0.171,61.010,0.001436
338,0.03125888,0.03081639,0.175,61.192,0.001436
339,0.03129259,0.03125843,0.176,61.376,0.001435
340,0.03141564,0.03079108,0.172,61.554,0.001435
341,0.03118860,0.03090746,0.171,61.733,0.001435
342,0.03162965,0.03172884,0.172,61.912,0.001434
343,0.03174699,0.03090442,0.171,62.090,0.001434
344,0.03166949,0.03133354,0.173,62.271,0.001433
345,0.03151931,0.03075822,0.172,62.450,0.001433
346,0.03097690,0.03053947,0.172,62.630,0.001433
347,0.03087692,0.03056299,0.172,62.813,0.001432
348,0.03084462,0.03042966,0.178,62.998,0.001432
349,0.03083479,0.03068673,0.173,63.182,0.001431
350,0.03099900,0.03080934,0.171,63.360,0.001431
351,0.03079696,0.03066803,0.173,63.540,0.001431
352,0.03079306,0.03070612,0.172,63.719,0.001430
353,0.03100579,0.03080824,0.171,63.898,0.001430
354,0.03084848,0.03078575,0.171,64.076,0.001429
355,0.03085684,0.03060585,0.172,64.255,0.001429
356,0.03069314,0.03063758,0.171,64.434,0.001429
357,0.03073755,0.03062174,0.170,64.611,0.001428
358,0.03102244,0.03088420,0.171,64.789,0.001428
359,0.03110038,0.03081037,0.170,64.967,0.001427
360,0.03098745,0.03052336,0.172,65.146,0.001427
361,0.03115628,0.03103773,0.172,65.325,0.001427
362,0.03157965,0.03157035,0.172,65.504,0.001426
363,0.03159814,0.03097063,0.172,65.683,0.001426
364,0.03121022,0.03096681,0.171,65.861,0.001425
365,0.03110406,0.03121583,0.171,66.040,0.001425
366,0.03154851,0.03157645,0.172,66.219,0.001425
367,0.03172903,0.03122865,0.172,66.398,0.001424
368,0.03141605,0.03131688,0.172,66.578,0.001424
369,0.03130460,0.03092240,0.172,66.757,0.001423
370,0.03113165,0.03077388,0.172,66.936,0.001423
371,0.03127574,0.03120376,0.172,67.115,0.001423
372,0.03124714,0.03092787,0.171,67.294,0.001422
373,0.03112202,0.03108003,0.171,67.471,0.001422
374,0.03119981,0.03102830,0.171,67.650,0.001421
375,0.03131120,0.03112258,0.172,67.829,0.001421
376,0.03128513,0.03119728,0.172,68.008,0.001420
377,0.03128755,0.03119786,0.172,68.188,0.001420
378,0.03123699,0.03131241,0.172,68.367,0.001420
379,0.03150122,0.03143380,0.172,68.546,0.001419
380,0.03230983,0.03216912,0.171,68.725,0.001419
381,0.03174468,0.03116205,0.171,68.903,0.001418
382,0.03112896,0.03085505,0.171,69.082,0.001418
383,0.03119238,0.03118309,0.173,69.263,0.001417
384,0.03125293,0.03121590,0.172,69.442,0.001417
385,0.03130494,0.03107084,0.172,69.621,0.001417
386,0.03111872,0.03082984,0.172,69.800,0.001416
387,0.03114243,0.03101501,0.172,69.979,0.001416
388,0.03109006,0.03080370,0.172,70.159,0.001415
389,0.03093565,0.03092168,0.171,70.336,0.001415
390,0.03115541,0.03109884,0.171,70.515,0.001414
391,0.03125217,0.03117359,0.172,70.694,0.001414
392,0.03124486,0.03117180,0.172,70.873,0.001414
393,0.03160045,0.03150265,0.172,71.052,0.001413
394,0.03174620,0.03151064,0.173,71.232,0.001413
395,0.03173600,0.03145253,0.172,71.411,0.001412
396,0.03147640,0.03100538,0.171,71.590,0.001412
397,0.03123106,0.03106276,0.172,71.769,0.001411
398,0.03140665,0.03106974,0.171,71.947,0.001411
399,0.03131021,0.03093932,0.171,72.126,0.001410
400,0.03125846,0.03122825,0.173,72.305,0.001410
401,0.03183464,0.03189855,0.171,72.484,0.001410
402,0.03199299,0.03161060,0.171,72.663,0.001409
403,0.03159146,0.03103126,0.172,72.842,0.001409
